                                                n   % val%
Mount Parnassus                                 8 0.1  0.1
Nile                                            8 0.1  0.1
Palermo                                         8 0.1  0.1
Perpignan                                       8 0.1  0.1
Potosí                                          8 0.1  0.1
Tarifa                                          8 0.1  0.1
Tartary                                         8 0.1  0.1
Antakya                                         7 0.1  0.1
Astorga                                         7 0.1  0.1
Benavente                                       7 0.1  0.1
Canary Islands                                  7 0.1  0.1
Chile                                           7 0.1  0.1
Ciudad Rodrigo                                  7 0.1  0.1
Coimbra                                         7 0.1  0.1
Colibre                                         7 0.1  0.1
Denmark                                         7 0.1  0.1
Galilee                                         7 0.1  0.1
Gaul                                            7 0.1  0.1
Geneva                                          7 0.1  0.1
Guadalete                                       7 0.1  0.1
Guadalupe                                       7 0.1  0.1
Japan                                           7 0.1  0.1
Melilla                                         7 0.1  0.1
Santa Fe                                        7 0.1  0.1
Sierra Nevada                                   7 0.1  0.1
Tripoli                                         7 0.1  0.1
Tyre                                            7 0.1  0.1
Albaicín                                        6 0.1  0.1
Alcántara                                       6 0.1  0.1
Algeciras                                       6 0.1  0.1
Bayonne                                         6 0.1  0.1
Belflor                                         6 0.1  0.1
Belgrade                                        6 0.1  0.1
Brazil                                          6 0.1  0.1
calle Mayor                                     6 0.1  0.1
Casa de Campo                                   6 0.1  0.1
Corse                                           6 0.1  0.1
Ebro                                            6 0.1  0.1
Epirus                                          6 0.1  0.1
Farsala                                         6 0.1  0.1
Hondarribiko                                    6 0.1  0.1
Indies                                          6 0.1  0.1
Loreto                                          6 0.1  0.1
Mediterranean Sea                               6 0.1  0.1
Miño                                            6 0.1  0.1
Mount Carmel                                    6 0.1  0.1
Red Sea                                         6 0.1  0.1
Rhodes                                          6 0.1  0.1
Samaria                                         6 0.1  0.1
San Martín                                      6 0.1  0.1
Saxony                                          6 0.1  0.1
Seine                                           6 0.1  0.1
Semíramis                                       6 0.1  0.1
Sparta                                          6 0.1  0.1
The Bahamas                                     6 0.1  0.1
Vienna                                          6 0.1  0.1
Villalba                                        6 0.1  0.1
A Coruña                                        5 0.1  0.1
Algarve                                         5 0.1  0.1
Alps                                            5 0.1  0.1
Americas                                        5 0.1  0.1
Archidona                                       5 0.1  0.1
Baeza                                           5 0.1  0.1
Balán                                           5 0.1  0.1
Brandenburg                                     5 0.1  0.1
Cologne                                         5 0.1  0.1
Friesland                                       5 0.1  0.1
Gate of Bibarrambla                             5 0.1  0.1
Genil                                           5 0.1  0.1
Hipodamia                                       5 0.1  0.1
Numidia                                         5 0.1  0.1
Ocaña                                           5 0.1  0.1
Ostia                                           5 0.1  0.1
Parma                                           5 0.1  0.1
Provence                                        5 0.1  0.1
San Juan de aznalfarache                        5 0.1  0.1
San Salvador                                    5 0.1  0.1
Savoie                                          5 0.1  0.1
Taroudant                                       5 0.1  0.1
Torre del Oro                                   5 0.1  0.1
Tower of Babel                                  5 0.1  0.1
Tudela                                          5 0.1  0.1
Vitoria-Gasteiz                                 5 0.1  0.1
Wamba                                           5 0.1  0.1
Zeeland                                         5 0.1  0.1
Adamuz                                          4 0.0  0.0
Alameda                                         4 0.0  0.0
Alcorcón                                        4 0.0  0.0
Andújar                                         4 0.0  0.0
Aranjuez                                        4 0.0  0.0
Arles                                           4 0.0  0.0
Ayamonte                                        4 0.0  0.0
Baza                                            4 0.0  0.0
Béjar                                           4 0.0  0.0
Bengal                                          4 0.0  0.0
Bermuda                                         4 0.0  0.0
Beşparmak Mountains                             4 0.0  0.0
Carmona                                         4 0.0  0.0
Castillo de San Servando                        4 0.0  0.0
Coria                                           4 0.0  0.0
Elysium                                         4 0.0  0.0
Ferrol                                          4 0.0  0.0
Formentera                                      4 0.0  0.0
Ganges                                          4 0.0  0.0
Gascogne                                        4 0.0  0.0
Gaza City                                       4 0.0  0.0
Ghent                                           4 0.0  0.0
Ibiza                                           4 0.0  0.0
Lorraine                                        4 0.0  0.0
Malagón                                         4 0.0  0.0
Mexico                                          4 0.0  0.0
Monserrate                                      4 0.0  0.0
Navas de Tolosa                                 4 0.0  0.0
New Spain                                       4 0.0  0.0
Olympia                                         4 0.0  0.0
Palma                                           4 0.0  0.0
Pavia                                           4 0.0  0.0
Peru                                            4 0.0  0.0
Plaza de Zocodover                              4 0.0  0.0
Province of Roussillon                          4 0.0  0.0
Ribadavia                                       4 0.0  0.0
Ronda                                           4 0.0  0.0
Royal Monastery of San Lorenzo de El Escorial   4 0.0  0.0
Sagunto                                         4 0.0  0.0
Sahagún                                         4 0.0  0.0
San Sebastián                                   4 0.0  0.0
Santángel                                       4 0.0  0.0
Soto                                            4 0.0  0.0
Sousse                                          4 0.0  0.0
